,Team,Chassis,Engine,Tires,{{Tooltip|No.|Car number}},Driver(s),Rounds,Season,Round(s),Drivers,,#,No,Tire,Ref(s),,No.
54,{{flagicon|USA}} [[Dreyer & Reinbold Racing]],[[G-Force GF05|G-Force]],[[Nissan VH engine|Infiniti]],,,,"1–3, 5–15",2002,,{{flagicon|USA}} [[Robbie Buhl]],,24,,,,,
55,{{flagicon|USA}} [[Dreyer & Reinbold Racing]],[[G-Force GF05|G-Force]],[[Nissan VH engine|Infiniti]],,,,3,2002,,{{flagicon|USA}} [[Memo Gidley]],,24,,,,,
56,{{flagicon|USA}} [[Dreyer & Reinbold Racing]],[[G-Force GF05|G-Force]],[[Nissan VH engine|Infiniti]],,,,4,2002,,{{flagicon|USA}} [[Sarah Fisher]],,24,,,,,
57,{{flagicon|USA}} [[Dreyer & Reinbold Racing]],[[G-Force GF05|G-Force]],[[Nissan VH engine|Infiniti]],,,,"5, 8–15",2002,,{{flagicon|USA}} [[Sarah Fisher]],,23,,,,,
58,{{flagicon|USA}} [[Andretti Autosport|Team Green]],[[Dallara IR-00|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,,,5,2002,,{{flagicon|CAN}} [[Paul Tracy]],,26,,,,,
59,{{flagicon|USA}} [[Andretti Autosport|Team Green]],[[Dallara IR-00|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,,,5,2002,,{{flagicon|GBR}} [[Dario Franchitti]],,27,,,,,
60,{{flagicon|USA}} [[Andretti Autosport|Team Green]],[[Dallara IR-00|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,,,5,2002,,{{flagicon|USA}} [[Michael Andretti]],,39,,,,,
61,{{flagicon|USA}} [[Indy Regency Racing]],[[G-Force GF05|G-Force]],[[Chevrolet Indy V8|Chevrolet]],,,,13–15,2002,,{{flagicon|JPN}} [[Hideki Noda]] {{color box|orange|R|border=silver}},,28,,,,,
62,{{flagicon|USA}} [[310 Motoring|310 Racing]],[[G-Force GF05|G-Force]],[[Chevrolet Indy V8|Chevrolet]],,,,All,2002,,{{flagicon|USA}} [[George Mack]] {{color box|orange|R|border=silver}},,{{Tooltip|31|Ran as #30 at Indy 500.}},,,,,
63,{{flagicon|USA}} [[Beck Motorsports|Duesenberg Brothers Racing]]<br>{{flagicon|USA}} [[CURB/Agajanian/Beck Motorsports]],[[Dallara IR-00|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,,,5,2002,,{{flagicon|GBR}} [[Johnny Herbert]]{{refn|name=Herbert|group=N|Withdrew during Bump Day due to a racing conflict.}},,32,,,,,
64,{{flagicon|USA}} [[Beck Motorsports|Duesenberg Brothers Racing]]<br>{{flagicon|USA}} [[CURB/Agajanian/Beck Motorsports]],[[Dallara IR-00|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,,,5,2002,,{{flagicon|USA}} [[Memo Gidley]],,32,,,,,
65,{{flagicon|USA}} [[Beck Motorsports|Duesenberg Brothers Racing]]<br>{{flagicon|USA}} [[CURB/Agajanian/Beck Motorsports]],[[Dallara IR-00|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,,,7–9,2002,,{{flagicon|USA}} [[Robby McGehee]],,54,,,,,
66,{{flagicon|USA}} [[Conquest Racing]],[[Dallara IR-00|Dallara]],[[Nissan VH engine|Infiniti]],,,,All,2002,,{{flagicon|FRA}} [[Laurent Redon]] {{color box|orange|R|border=silver}},,34,,,,,
67,{{flagicon|USA}} [[Lee Brayton|Brayton Racing]],[[Dallara IR-00|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,,,1–5,2002,,{{flagicon|AUS}} [[John de Vries (racing driver)|John de Vries]] {{color box|orange|R|border=silver}}{{refn|name=de Vries|group=N|Replaced at Indianapolis ahead of Bump Day.}},,37,,,,,
68,{{flagicon|USA}} [[Lee Brayton|Brayton Racing]],[[Dallara IR-00|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,,,"5, 11",2002,,{{flagicon|USA}} [[Scott Harrington (racing driver)|Scott Harrington]],,37,,,,,
69,{{flagicon|USA}} [[Blair Racing]],[[Dallara IR-00|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,,,All,2002,,{{flagicon|USA}} [[Alex Barron (racing driver)|Alex Barron]],,44,,,,,
70,{{flagicon|USA}} [[Cheever Racing|Red Bull Cheever Racing]],[[Dallara IR-00|Dallara]],[[Nissan VH engine|Infiniti]],,,,All,2002,,{{flagicon|USA}} [[Eddie Cheever]],,51,,,,,
71,{{flagicon|USA}} [[Cheever Racing|Red Bull Cheever Racing]],[[Dallara IR-00|Dallara]],[[Nissan VH engine|Infiniti]],,,,1–12,2002,,{{flagicon|ZAF}} [[Tomas Scheckter]] {{color box|orange|R|border=silver}},,52,,,,,
72,{{flagicon|USA}} [[Cheever Racing|Red Bull Cheever Racing]],[[Dallara IR-00|Dallara]],[[Nissan VH engine|Infiniti]],,,,13–15,2002,,{{flagicon|USA}} [[Buddy Rice]] {{color box|orange|R|border=silver}},,52,,,,,
73,{{flagicon|USA}} [[Cheever Racing|Red Bull Cheever Racing]],[[Dallara IR-00|Dallara]],[[Nissan VH engine|Infiniti]],,,,11–12,2002,,{{flagicon|USA}} [[Buddy Rice]] {{color box|orange|R|border=silver}},,53,,,,,
74,{{flagicon|USA}} [[Cheever Racing|Red Bull Cheever Racing]],[[Dallara IR-00|Dallara]],[[Nissan VH engine|Infiniti]],,,,5,2002,,{{flagicon|ITA}} [[Max Papis]],,53,,,,,
75,{{flagicon|USA}} [[Cheever Racing|Red Bull Cheever Racing]],[[Dallara IR-00|Dallara]],[[Nissan VH engine|Infiniti]],,,,15,2002,,{{flagicon|USA}} [[Robby McGehee]],,53,,,,,
76,{{flagicon|USA}} [[Zali Racing]],[[G-Force GF05|G-Force]],[[Chevrolet Indy V8|Chevrolet]],,,,"1, 5",2002,,{{flagicon|USA}} [[Billy Roe]],,81,,,,,
77,{{flagicon|USA}} [[Hemelgarn Racing]],[[Dallara IR-00|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,,,All,2002,,{{flagicon|USA}} [[Buddy Lazier]],,91,,,,,
78,{{flagicon|USA}} [[Curb Agajanian Performance Group|CURB/Agajanian/Boat Indy Racing]],[[Dallara IR-00|Dallara]],[[Chevrolet Indy V8|Chevrolet]] <br> [[Nissan VH engine|Infiniti]]{{refn|name=Boat|group=N|Used from Kansas onwards.}},,,,All,2002,,{{flagicon|USA}} [[Billy Boat]],,98,,,,,
0,[[A. J. Foyt Enterprises]],"[[Dallara IR-03|Dallara]]<br>[[G-Force GF09|G-Force]]{{refn|name=FoytGForce|group=N|Used by [[Airton Daré|Daré]], by [[Shigeaki Hattori|Hattori]] at [[Homestead-Miami Speedway|Homestead]] and [[Twin Ring Motegi|Motegi]], and by [[A. J. Foyt IV|Foyt IV]] in seven rounds: [[Twin Ring Motegi|Motegi]], [[Texas Motor Speedway|Texas 1 and 2]], [[Kansas Speedway|Kansas]], [[Michigan International Speedway|Michigan]], [[Kentucky Speedway|Kentucky]] and [[California Speedway|Fontana]].}}",[[Toyota Indy V8|Toyota]],,,,1–4,2003,,{{flagicon|JPN}} [[Shigeaki Hattori]],,,5,,,,
1,[[A. J. Foyt Enterprises]],"[[Dallara IR-03|Dallara]]<br>[[G-Force GF09|G-Force]]{{refn|name=FoytGForce|group=N|Used by [[Airton Daré|Daré]], by [[Shigeaki Hattori|Hattori]] at [[Homestead-Miami Speedway|Homestead]] and [[Twin Ring Motegi|Motegi]], and by [[A. J. Foyt IV|Foyt IV]] in seven rounds: [[Twin Ring Motegi|Motegi]], [[Texas Motor Speedway|Texas 1 and 2]], [[Kansas Speedway|Kansas]], [[Michigan International Speedway|Michigan]], [[Kentucky Speedway|Kentucky]] and [[California Speedway|Fontana]].}}",[[Toyota Indy V8|Toyota]],,,,5,2003,,{{flagicon|BRA}} [[Airton Daré]]{{refn|name=Jaques|group=N|Injured during a practice crash at [[Texas Motor Speedway|Texas]].}},,,5,,,,
2,[[A. J. Foyt Enterprises]],"[[Dallara IR-03|Dallara]]<br>[[G-Force GF09|G-Force]]{{refn|name=FoytGForce|group=N|Used by [[Airton Daré|Daré]], by [[Shigeaki Hattori|Hattori]] at [[Homestead-Miami Speedway|Homestead]] and [[Twin Ring Motegi|Motegi]], and by [[A. J. Foyt IV|Foyt IV]] in seven rounds: [[Twin Ring Motegi|Motegi]], [[Texas Motor Speedway|Texas 1 and 2]], [[Kansas Speedway|Kansas]], [[Michigan International Speedway|Michigan]], [[Kentucky Speedway|Kentucky]] and [[California Speedway|Fontana]].}}",[[Toyota Indy V8|Toyota]],,,,5–8,2003,,{{flagicon|USA}} [[Jaques Lazier]],,,5,,,,
3,[[A. J. Foyt Enterprises]],"[[Dallara IR-03|Dallara]]<br>[[G-Force GF09|G-Force]]{{refn|name=FoytGForce|group=N|Used by [[Airton Daré|Daré]], by [[Shigeaki Hattori|Hattori]] at [[Homestead-Miami Speedway|Homestead]] and [[Twin Ring Motegi|Motegi]], and by [[A. J. Foyt IV|Foyt IV]] in seven rounds: [[Twin Ring Motegi|Motegi]], [[Texas Motor Speedway|Texas 1 and 2]], [[Kansas Speedway|Kansas]], [[Michigan International Speedway|Michigan]], [[Kentucky Speedway|Kentucky]] and [[California Speedway|Fontana]].}}",[[Toyota Indy V8|Toyota]],,,,All,2003,,{{flagicon|USA}} [[A. J. Foyt IV]],,,14,,,,
4,[[A. J. Foyt Enterprises]],"[[Dallara IR-03|Dallara]]<br>[[G-Force GF09|G-Force]]{{refn|name=FoytGForce|group=N|Used by [[Airton Daré|Daré]], by [[Shigeaki Hattori|Hattori]] at [[Homestead-Miami Speedway|Homestead]] and [[Twin Ring Motegi|Motegi]], and by [[A. J. Foyt IV|Foyt IV]] in seven rounds: [[Twin Ring Motegi|Motegi]], [[Texas Motor Speedway|Texas 1 and 2]], [[Kansas Speedway|Kansas]], [[Michigan International Speedway|Michigan]], [[Kentucky Speedway|Kentucky]] and [[California Speedway|Fontana]].}}",[[Toyota Indy V8|Toyota]],,,,4,2003,,{{flagicon|BRA}} [[Airton Daré]],,,41,,,,
5,[[Access Motorsports]],[[G-Force GF09|G-Force]],[[Honda Indy V8|Honda]],,,,3–16,2003,,{{flagicon|USA}} [[Greg Ray]],,,13,,,,
6,[[Andretti Autosport|Andretti Green Racing]],[[Dallara IR-03|Dallara]],[[Honda Indy V8|Honda]],,,,1–4,2003,,{{flagicon|USA}} [[Michael Andretti]],,,7,,,,
7,[[Andretti Autosport|Andretti Green Racing]],[[Dallara IR-03|Dallara]],[[Honda Indy V8|Honda]],,,,16,2003,,{{flagicon|GBR}} [[Dan Wheldon]],,,7,,,,
8,[[Andretti Autosport|Andretti Green Racing]],[[Dallara IR-03|Dallara]],[[Honda Indy V8|Honda]],,,,All,2003,,{{flagicon|BRA}} [[Tony Kanaan]],,,11,,,,
9,[[Andretti Autosport|Andretti Green Racing]],[[Dallara IR-03|Dallara]],[[Honda Indy V8|Honda]],,,,4–15,2003,,{{flagicon|GBR}} [[Dan Wheldon]],,,26,,,,
10,[[Andretti Autosport|Andretti Green Racing]],[[Dallara IR-03|Dallara]],[[Honda Indy V8|Honda]],,,,3,2003,,{{flagicon|GBR}} [[Dan Wheldon]],,,27,,,,
11,[[Andretti Autosport|Andretti Green Racing]],[[Dallara IR-03|Dallara]],[[Honda Indy V8|Honda]],,,,"1–2, 6",2003,,{{flagicon|GBR}} [[Dario Franchitti]],,,27,,,,
12,[[Andretti Autosport|Andretti Green Racing]],[[Dallara IR-03|Dallara]],[[Honda Indy V8|Honda]],,,,4,2003,,{{flagicon|USA}} [[Robby Gordon]],,,27,,,,
13,[[Andretti Autosport|Andretti Green Racing]],[[Dallara IR-03|Dallara]],[[Honda Indy V8|Honda]],,,,"5, 7–16",2003,,{{flagicon|USA}} [[Bryan Herta]],,,27,,,,
14,[[CURB/Agajanian/3G Racing|Beck Motorsports]],[[Dallara IR-03|Dallara]],[[Honda Indy V8|Honda]],,,,3–4,2003,,{{flagicon|JPN}} [[Shinji Nakano]],,,54,,,,
15,[[Dreyer & Reinbold Racing]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,,,All,2003,,{{flagicon|USA}} [[Sarah Fisher]],,,23,,,,
16,[[Dreyer & Reinbold Racing]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,,,All,2003,,{{flagicon|USA}} [[Robbie Buhl]],,,24,,,,
17,[[Fernández Racing]],[[Dallara IR-03|Dallara]],[[Honda Indy V8|Honda]],,,,All,2003,,{{flagicon|USA}} [[Roger Yasukawa]],,,55,,,,
18,[[Hemelgarn Racing]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,,,2–14,2003,,{{flagicon|USA}} [[Buddy Lazier]],,,91,,,,
19,[[Hemelgarn Racing]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,,,15–16,2003,,{{flagicon|USA}} [[Richie Hearn]],,,91,,,,
20,[[Kelley Racing]],[[Dallara IR-03|Dallara]],[[Toyota Indy V8|Toyota]],,,,All,2003,,{{flagicon|USA}} [[Scott Sharp]],,,8,,,,
21,[[Kelley Racing]],[[Dallara IR-03|Dallara]],[[Toyota Indy V8|Toyota]],,,,All,2003,,{{flagicon|USA}} [[Al Unser Jr.]],,,31,,,,
22,[[Kelley Racing]],[[Dallara IR-03|Dallara]],[[Toyota Indy V8|Toyota]],,,,4,2003,,{{flagicon|USA}} [[Tony Renna]],,,32,,,,
23,[[Penske Racing|Marlboro Team Penske]],[[Dallara IR-03|Dallara]],[[Toyota Indy V8|Toyota]],,,,All,2003,,{{flagicon|BRA}} [[Hélio Castroneves]],,,3,,,,
24,[[Penske Racing|Marlboro Team Penske]],[[Dallara IR-03|Dallara]],[[Toyota Indy V8|Toyota]],,,,"1–2, 6–14, 16",2003,,{{flagicon|BRA}} [[Gil de Ferran]],,,6,,,,
25,[[Penske Racing|Marlboro Team Penske]],[[G-Force GF09|G-Force]],[[Toyota Indy V8|Toyota]],,,,"4–5, 15",2003,,{{flagicon|BRA}} [[Gil de Ferran]],,,6,,,,
26,[[Penske Racing|Marlboro Team Penske]],[[G-Force GF09|G-Force]],[[Toyota Indy V8|Toyota]],,,,3,2003,,{{flagicon|USA}} [[Alex Barron (racing driver)|Alex Barron]],,,6,,,,
27,[[Mo Nunn|Mo Nunn Racing]],[[Dallara IR-03|Dallara]],[[Toyota Indy V8|Toyota]],,,,11–12,2003,,{{flagicon|JPN}} [[Toranosuke Takagi|Tora Takagi]],,,12,,,,
28,[[Mo Nunn|Mo Nunn Racing]],[[G-Force GF09|G-Force]],[[Toyota Indy V8|Toyota]],,,,"1–10, 13–16",2003,,{{flagicon|JPN}} [[Toranosuke Takagi|Tora Takagi]],,,12,,,,
29,[[Mo Nunn|Mo Nunn Racing]],[[G-Force GF09|G-Force]],[[Toyota Indy V8|Toyota]],,,,4,2003,,{{flagicon|NED}} [[Arie Luyendyk]]{{refn|name=BarronArie|group=N|Injured during a practice crash at Indianapolis.}},,,20,,,,
30,[[Mo Nunn|Mo Nunn Racing]],[[G-Force GF09|G-Force]],[[Toyota Indy V8|Toyota]],,,,4,2003,,{{Flagicon|USA}} [[Alex Barron (racing driver)|Alex Barron]],,,20,,,,
31,[[Mo Nunn|Mo Nunn Racing]],[[G-Force GF09|G-Force]],[[Toyota Indy V8|Toyota]],,,,"1–8, 14–16",2003,,{{flagicon|BRA}} [[Felipe Giaffone]],,,21,,,,
32,[[Mo Nunn|Mo Nunn Racing]],[[G-Force GF09|G-Force]],[[Toyota Indy V8|Toyota]],,,,9–13,2003,,{{flagicon|USA}} [[Alex Barron (racing driver)|Alex Barron]],,,21,,,,
33,[[Panther Racing]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,,,All,2003,,{{flagicon|USA}} [[Sam Hornish Jr.]],,,4,,,,
34,[[Panther Racing]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,,,4,2003,,{{flagicon|USA}} [[Robby McGehee]],,,44,,,,
35,[[Panther Racing]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,,,4,2003,,{{flagicon|USA}} [[Billy Boat]],,,98,,,,
36,[[PDM Racing]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,,,1–3,2003,,{{flagicon|USA}} [[Scott Mayer (driver)|Scott Mayer]],,,18,,,,
37,[[PDM Racing]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,,,4,2003,,{{flagicon|USA}} [[Jimmy Kite]],,,18,,,,
38,[[PDM Racing]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,,,14–16,2003,,{{flagicon|USA}} [[Ed Carpenter (racing driver)|Ed Carpenter]],,,18,,,,
39,[[Cheever Racing|Red Bull Cheever Racing]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,,,1–13,2003,,{{flagicon|USA}} [[Buddy Rice]],,,52,,,,
40,[[Cheever Racing|Red Bull Cheever Racing]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,,,14–16,2003,,{{flagicon|USA}} [[Alex Barron (racing driver)|Alex Barron]],,,52,,,,
41,[[Sam Schmidt Motorsports]],[[G-Force GF09|G-Force]],[[Toyota Indy V8|Toyota]],,,,4,2003,,{{flagicon|USA}} [[Richie Hearn]],,,99,,,,
42,[[Chip Ganassi Racing|Target Chip Ganassi Racing]],[[G-Force GF09|G-Force]],[[Toyota Indy V8|Toyota]],,,,All,2003,,{{flagicon|NZL}} [[Scott Dixon]],,,9,,,,
43,[[Chip Ganassi Racing|Target Chip Ganassi Racing]],[[G-Force GF09|G-Force]],[[Toyota Indy V8|Toyota]],,,,All,2003,,{{flagicon|ZAF}} [[Tomas Scheckter]],,,10,,,,
44,[[Team Menard]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,,,"1–4, 13",2003,,{{flagicon|USA}} [[Jaques Lazier]],,,2,,,,
45,[[Team Menard]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,,,"5–12, 15–16",2003,,{{flagicon|BRA}} [[Vítor Meira]],,,2,,,,
46,[[Team Menard]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,,,14,2003,,{{flagicon|USA}} [[Richie Hearn]],,,2,,,,
47,[[Team Menard]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,,,4,2003,,{{flagicon|BRA}} [[Vítor Meira]],,,22,,,,
48,[[Rahal Letterman Lanigan Racing|Team Rahal]],[[Dallara IR-03|Dallara]],[[Honda Indy V8|Honda]],,,,All,2003,,{{flagicon|SWE}} [[Kenny Bräck]],,,15,,,,
49,[[Rahal Letterman Lanigan Racing|Team Rahal]],[[Dallara IR-03|Dallara]],[[Honda Indy V8|Honda]],,,,4,2003,,{{flagicon|USA}} [[Jimmy Vasser]],,,19,,,,
0,[[A. J. Foyt Enterprises]],[[Dallara IR-03|Dallara]],[[Toyota Indy V8|Toyota]],,14,,All,2004,,{{flagicon|USA}} [[A. J. Foyt IV]],,,,,,,
1,[[A. J. Foyt Enterprises]],[[G-Force GF09|G-Force]],[[Toyota Indy V8|Toyota]],,41,,4,2004,,{{flagicon|USA}} [[Larry Foyt]] '''(R)''',,,,,,,
2,[[Access Motorsports]],[[G-Force GF09|G-Force]],[[Honda Indy V8|Honda]],,13,,1–6,2004,,{{flagicon|USA}} [[Greg Ray]],,,,,,,
3,[[Access Motorsports]],[[G-Force GF09|G-Force]],[[Honda Indy V8|Honda]],,13,,8–16,2004,,{{flagicon|GBR}} [[Mark Taylor (racing driver)|Mark Taylor]] '''(R)''',,,,,,,
4,[[Super Aguri|Aguri]]-[[Fernández Racing]],[[G-Force GF09|G-Force]],[[Honda Indy V8|Honda]],,5,,2–16,2004,,{{flagicon|MEX}} [[Adrián Fernández]],,,,,,,
5,[[Super Aguri|Aguri]]-[[Fernández Racing]],[[G-Force GF09|G-Force]],[[Honda Indy V8|Honda]],,55,,All,2004,,{{flagicon|JPN}} [[Kosuke Matsuura]] '''(R)''',,,,,,,
6,[[Andretti Autosport|Andretti Green Racing]],[[Dallara IR-03|Dallara]],[[Honda Indy V8|Honda]],,7,,All,2004,,{{flagicon|USA}} [[Bryan Herta]],,,,,,,
7,[[Andretti Autosport|Andretti Green Racing]],[[Dallara IR-03|Dallara]],[[Honda Indy V8|Honda]],,11,,All,2004,,{{flagicon|BRA}} [[Tony Kanaan]],,,,,,,
8,[[Andretti Autosport|Andretti Green Racing]],[[Dallara IR-03|Dallara]],[[Honda Indy V8|Honda]],,26,,All,2004,,{{flagicon|GBR}} [[Dan Wheldon]],,,,,,,
9,[[Andretti Autosport|Andretti Green Racing]],[[Dallara IR-03|Dallara]],[[Honda Indy V8|Honda]],,27,,All,2004,,{{flagicon|GBR}} [[Dario Franchitti]],,,,,,,
10,[[CURB/Agajanian/Beck Motorsports]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,98,,4,2004,,{{flagicon|USA}} [[P. J. Jones]],,,,,,,
11,[[Dreyer & Reinbold Racing]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,24,,1–3,2004,,{{flagicon|USA}} [[Robbie Buhl]],,,,,,,
12,[[Dreyer & Reinbold Racing]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,24,,4–16,2004,,{{flagicon|BRA}} [[Felipe Giaffone]],,,,,,,
13,[[Hemelgarn Racing]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,91,,4,2004,,{{flagicon|USA}} [[Buddy Lazier]],,,,,,,
14,[[Kelley Racing]],[[Dallara IR-03|Dallara]],[[Toyota Indy V8|Toyota]],,8,,All,2004,,{{flagicon|USA}} [[Scott Sharp]],,,,,,,
15,[[Kelley Racing]],[[Dallara IR-03|Dallara]],[[Toyota Indy V8|Toyota]],,39,,4,2004,,{{flagicon|USA}} [[Sarah Fisher]],,,,,,,
16,[[Marlboro (cigarette)|Marlboro]] [[Penske Racing|Team Penske]],[[Dallara IR-03|Dallara]],[[Toyota Indy V8|Toyota]],,3,,All,2004,,{{flagicon|BRA}} [[Hélio Castroneves]],,,,,,,
17,[[Marlboro (cigarette)|Marlboro]] [[Penske Racing|Team Penske]],[[Dallara IR-03|Dallara]],[[Toyota Indy V8|Toyota]],,6,,All,2004,,{{flagicon|USA}} [[Sam Hornish Jr.]],,,,,,,
18,[[Newman/Haas Racing]],[[G-Force GF09|G-Force]],[[Honda Indy V8|Honda]],,36,,4,2004,,{{flagicon|BRA}} [[Bruno Junqueira]],,,,,,,
19,[[Panther Racing]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,2,,1–6,2004,,{{flagicon|GBR}} [[Mark Taylor (racing driver)|Mark Taylor]] '''(R)''',,,,,,,
20,[[Panther Racing]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,2,,7–16,2004,,{{flagicon|USA}} [[Townsend Bell]],,,,,,,
21,[[Panther Racing]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,4,,All,2004,,{{flagicon|ZAF}} [[Tomas Scheckter]],,,,,,,
22,[[Patrick Racing]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,20,,4–6,2004,,{{flagicon|USA}} [[Al Unser Jr.]],,,,,,,
23,[[Patrick Racing]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,20,,7,2004,,{{flagicon|USA}} [[Jeff Simmons (racing driver)|Jeff Simmons]] '''(R)''',,,,,,,
24,[[Patrick Racing]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,20,,8–14,2004,,{{flagicon|USA}} [[Jaques Lazier]],,,,,,,
25,[[Patrick Racing]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,20,,15–16,2004,,{{flagicon|CZE}} [[Tomáš Enge]] '''(R)''',,,,,,,
26,[[PDM Racing]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,18,,4,2004,,{{flagicon|USA}} [[Robby McGehee]],,,,,,,
27,[[Mo Nunn Racing|Pioneer Mo Nunn Racing]],[[Dallara IR-03|Dallara]],[[Toyota Indy V8|Toyota]],,12,,All,2004,,{{flagicon|JPN}} [[Toranosuke Takagi]],,,,,,,
28,[[Mo Nunn Racing|Pioneer Mo Nunn Racing]],[[Dallara IR-03|Dallara]],[[Toyota Indy V8|Toyota]],,21,,4,2004,,{{flagicon|USA}} [[Jeff Simmons (racing driver)|Jeff Simmons]] '''(R)''',,,,,,,
29,[[Rahal Letterman Lanigan Racing|Rahal Letterman Racing]],[[G-Force GF09|G-Force]],[[Honda Indy V8|Honda]],,15,,All,2004,,{{flagicon|USA}} [[Buddy Rice]],,,,,,,
30,[[Rahal Letterman Lanigan Racing|Rahal Letterman Racing]],[[G-Force GF09|G-Force]],[[Honda Indy V8|Honda]],,16,,3–4,2004,,{{flagicon|USA}} [[Roger Yasukawa]],,,,,,,
31,[[Rahal Letterman Lanigan Racing|Rahal Letterman Racing]],[[G-Force GF09|G-Force]],[[Honda Indy V8|Honda]],,17,,3–16,2004,,{{flagicon|BRA}} [[Vítor Meira]],,,,,,,
32,[[Cheever Racing|Red Bull Cheever Racing]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,51,,All,2004,,{{flagicon|USA}} [[Alex Barron (racing driver)|Alex Barron]],,,,,,,
33,[[Cheever Racing|Red Bull Cheever Racing]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,52,,All,2004,,{{flagicon|USA}} [[Ed Carpenter (racing driver)|Ed Carpenter]] '''(R)''',,,,,,,
34,[[Robby Gordon Motorsports]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,70,,4,2004,,{{flagicon|USA}} [[Robby Gordon]],,,,,,,
35,[[Robby Gordon Motorsports]],[[Dallara IR-03|Dallara]],[[Chevrolet Indy V8|Chevrolet]],,70,,4,2004,,{{flagicon|USA}} [[Jaques Lazier]]{{refn|name=Jaques|group=N|Relief driver.}},,,,,,,
36,[[Roth Racing]],[[Dallara IR-03|Dallara]],[[Toyota Indy V8|Toyota]],,25,,4,2004,,{{flagicon|CAN}} [[Marty Roth]] '''(R)''',,,,,,,
37,[[Sam Schmidt Motorsports]],[[G-Force GF09|G-Force]],[[Toyota Indy V8|Toyota]],,33,,4,2004,,{{flagicon|USA}} [[Richie Hearn]],,,,,,,
38,[[Chip Ganassi Racing|Target Chip Ganassi Racing]],[[G-Force GF09|G-Force]],[[Toyota Indy V8|Toyota]],,1,,All,2004,,{{flagicon|NZL}} [[Scott Dixon]],,,,,,,
39,[[Chip Ganassi Racing|Target Chip Ganassi Racing]],[[G-Force GF09|G-Force]],[[Toyota Indy V8|Toyota]],,10,,1–15,2004,,{{flagicon|GBR}} [[Darren Manning]],,,,,,,
0,[[A. J. Foyt Enterprises]],[[Dallara IR-03|Dallara]]<br>[[G-Force GF09|Panoz]]{{refn|name=FoytPanoz|group=N|Used by [[A. J. Foyt IV]] in [[Honda Grand Prix of St. Petersburg|St. Petersburg]] and by [[Felipe Giaffone]].}},[[Toyota Indy V8|Toyota]]<br>[[Chevrolet Indy V8|Chevrolet]]{{refn|name=FoytChevy|group=N|Used from [[Kentucky Speedway|Kentucky]] onwards.}},,,,"1–13, 15, 17",2005,,{{flagicon|USA}} [[A. J. Foyt IV]],,,14,,,,
