,Rd,Date,Race Name,Track,Location,Season,Rnd,City,,Race name,Rd.,Original date,Original<br>date,Time (ET)
3,,May 30,[[1999 Indianapolis 500|Indianapolis 500]],[[Indianapolis Motor Speedway]],"[[Speedway, Indiana]]",1999,4,,,,,,,
4,,June 12,[[Firestone 600|Longhorn 500]],[[Texas Motor Speedway]],"[[Fort Worth, Texas]]",1999,5,,,,,,,
5,,June 27,[[Pikes Peak International Raceway#Race results|Radisson 200]],[[Pikes Peak International Raceway]],"[[Fountain, Colorado]]",1999,6,,,,,,,
6,,July 17,[[Atlanta 500 Classic|Kobalt Mechanics Tools 500]],[[Atlanta Motor Speedway]],"[[Hampton, Georgia]]",1999,7,,,,,,,
7,,August 1,[[Dover International Speedway#Indy Racing League results|MBNA Mid-Atlantic 200]],[[Dover International Speedway]],"[[Dover, Delaware]]",1999,8,,,,,,,
8,,August 29,[[Pikes Peak International Raceway#Race results|Colorado Indy 200]],[[Pikes Peak International Raceway]],"[[Fountain, Colorado]]",1999,9,,,,,,,
9,,September 26,[[IZOD IndyCar World Championships|Vegas.com 500]],[[Las Vegas Motor Speedway]],"[[Las Vegas, Nevada]]",1999,10,,,,,,,
10,,October 17,[[Firestone 600|Mall.com 500]],[[Texas Motor Speedway]],"[[Fort Worth, Texas]]",1999,11,,,,,,,
11,,"'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 1999|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/1999|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref name=1997IRLCalendar>{{cite web|title=Schedule|url=http://www.indyracingleague.com/schedule.html|publisher=[[Indy Racing League]]|access-date=November 17, 2023|archive-url=https://web.archive.org/web/19991011030545/http://www.indyracingleague.com/schedule.html|archive-date=October 11, 1999|url-status=dead}}</ref>","'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 1999|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/1999|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref name=1997IRLCalendar>{{cite web|title=Schedule|url=http://www.indyracingleague.com/schedule.html|publisher=[[Indy Racing League]]|access-date=November 17, 2023|archive-url=https://web.archive.org/web/19991011030545/http://www.indyracingleague.com/schedule.html|archive-date=October 11, 1999|url-status=dead}}</ref>","'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 1999|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/1999|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref name=1997IRLCalendar>{{cite web|title=Schedule|url=http://www.indyracingleague.com/schedule.html|publisher=[[Indy Racing League]]|access-date=November 17, 2023|archive-url=https://web.archive.org/web/19991011030545/http://www.indyracingleague.com/schedule.html|archive-date=October 11, 1999|url-status=dead}}</ref>","'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 1999|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/1999|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref name=1997IRLCalendar>{{cite web|title=Schedule|url=http://www.indyracingleague.com/schedule.html|publisher=[[Indy Racing League]]|access-date=November 17, 2023|archive-url=https://web.archive.org/web/19991011030545/http://www.indyracingleague.com/schedule.html|archive-date=October 11, 1999|url-status=dead}}</ref>",1999,"'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 1999|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/1999|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref name=1997IRLCalendar>{{cite web|title=Schedule|url=http://www.indyracingleague.com/schedule.html|publisher=[[Indy Racing League]]|access-date=November 17, 2023|archive-url=https://web.archive.org/web/19991011030545/http://www.indyracingleague.com/schedule.html|archive-date=October 11, 1999|url-status=dead}}</ref>",,,,,,,
0,,January 29,[[Walt Disney World Speedway|Delphi Indy 200]],[[Walt Disney World Speedway]],,2000,1,"[[Bay Lake, Florida]]",,,,,,
1,,March 19,[[XM Satellite Radio Indy 200|MCI WorldCom Indy 200]],[[Phoenix International Raceway]],,2000,2,"[[Phoenix, Arizona]]",,,,,,
2,,April 22,[[IZOD IndyCar World Championships|Vegas Indy 300]],[[Las Vegas Motor Speedway]],,2000,3,"[[Las Vegas, Nevada]]",,,,,,
3,,May 28,[[2000 Indianapolis 500|84th Indianapolis 500]],[[Indianapolis Motor Speedway]],,2000,4,"[[Speedway, Indiana]]",,,,,,
4,,June 11,[[Firestone 550|Casino Magic 500]],[[Texas Motor Speedway]],,2000,5,"[[Fort Worth, Texas]]",,,,,,
5,,June 18,[[Pikes Peak International Raceway|Radisson 200]],[[Pikes Peak International Raceway]],,2000,6,"[[Fountain, Colorado]]",,,,,,
6,,July 15,[[Atlanta 500 Classic|Midas 500 Classic]],[[Atlanta Motor Speedway]],,2000,7,"[[Hampton, Georgia]]",,,,,,
7,,August 27,[[Kentucky Indy 300|Belterra Resort Indy 300]],[[Kentucky Speedway]],,2000,8,"[[Sparta, Kentucky]]",,,,,,
8,,October 15,[[Firestone 550|Excite 500]],[[Texas Motor Speedway]],,2000,9,"[[Fort Worth, Texas]]",,,,,,
9,,"'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 2000|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/2000|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref>{{cite web|title=2000 Schedule|url=http://www.indyracingleague.com/schedule.html|publisher=[[Indy Racing League]]|access-date=November 17, 2023|archive-url=https://web.archive.org/web/20000621004751/http://www.indyracingleague.com/schedule.html|archive-date=June 21, 2000|url-status=dead}}</ref>","'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 2000|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/2000|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref>{{cite web|title=2000 Schedule|url=http://www.indyracingleague.com/schedule.html|publisher=[[Indy Racing League]]|access-date=November 17, 2023|archive-url=https://web.archive.org/web/20000621004751/http://www.indyracingleague.com/schedule.html|archive-date=June 21, 2000|url-status=dead}}</ref>","'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 2000|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/2000|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref>{{cite web|title=2000 Schedule|url=http://www.indyracingleague.com/schedule.html|publisher=[[Indy Racing League]]|access-date=November 17, 2023|archive-url=https://web.archive.org/web/20000621004751/http://www.indyracingleague.com/schedule.html|archive-date=June 21, 2000|url-status=dead}}</ref>",,2000,"'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 2000|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/2000|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref>{{cite web|title=2000 Schedule|url=http://www.indyracingleague.com/schedule.html|publisher=[[Indy Racing League]]|access-date=November 17, 2023|archive-url=https://web.archive.org/web/20000621004751/http://www.indyracingleague.com/schedule.html|archive-date=June 21, 2000|url-status=dead}}</ref>","'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 2000|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/2000|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref>{{cite web|title=2000 Schedule|url=http://www.indyracingleague.com/schedule.html|publisher=[[Indy Racing League]]|access-date=November 17, 2023|archive-url=https://web.archive.org/web/20000621004751/http://www.indyracingleague.com/schedule.html|archive-date=June 21, 2000|url-status=dead}}</ref>",,,,,,
0,,March 18,[[XM Satellite Radio Indy 200|Pennzoil Copper World Indy 200]],[[Phoenix International Raceway]],"[[Phoenix, Arizona]]",2001,1,,,,,,,
1,,April 8,[[Homestead–Miami Indy 300|Infiniti Grand Prix of Miami]],[[Homestead-Miami Speedway]],"[[Homestead, Florida]]",2001,2,,,,,,,
2,,April 28,[[Atlanta 500 Classic|zMax 500]],[[Atlanta Motor Speedway]],"[[Hampton, Georgia]]",2001,3,,,,,,,
3,,May 27,[[2001 Indianapolis 500|85th Indianapolis 500]],[[Indianapolis Motor Speedway]],"[[Speedway, Indiana]]",2001,4,,,,,,,
4,,June 9,[[Firestone 550|Casino Magic 500]],[[Texas Motor Speedway]],"[[Fort Worth, Texas]]",2001,5,,,,,,,
5,,June 17,[[Pikes Peak International Raceway|Radisson Indy 200]],[[Pikes Peak International Raceway]],"[[Fountain, Colorado]]",2001,6,,,,,,,
6,,June 30,[[SunTrust Indy Challenge]],[[Richmond International Raceway]],"[[Richmond, Virginia]]",2001,7,,,,,,,
7,,July 8,[[RoadRunner Turbo Indy 300|Ameristar Casino Indy 200]],[[Kansas Speedway]],"[[Kansas City, Kansas]]",2001,8,,,,,,,
8,,July 21,[[Firestone Indy 200|Harrah's 200]],[[Nashville Superspeedway]],"[[Lebanon, Tennessee]]",2001,9,,,,,,,
