,Rd,Date,Race Name,Track,Location,Season,Rnd,City,,Race name,Rd.,Original date,Original<br>date,Time (ET)
11,,August 22,[[Pikes Peak International Raceway|Honda Indy 225]],[[Pikes Peak International Raceway]],,2004,12,"[[Fountain, Colorado]]",,,,,,
12,,August 29,[[Firestone Indy 225]],[[Nazareth Speedway]],,2004,13,"[[Nazareth, Pennsylvania]]",,,,,,
13,,September 12,[[Peak Antifreeze & Motor Oil Indy 300|Delphi Indy 300]],[[Chicagoland Speedway]],,2004,14,"[[Joliet, Illinois]]",,,,,,
14,,October 3,[[MAVTV 500|Toyota Indy 400]],[[Auto Club Speedway|California Speedway]],,2004,15,"[[Fontana, California]]",,,,,,
15,,October 17,[[Firestone 550|Chevy 500]],[[Texas Motor Speedway]],,2004,16,"[[Fort Worth, Texas]]",,,,,,
16,,'''Source:<ref>{{cite journal|title=Tour dates|url=https://archive.org/details/indycar-series-2004-season-preview/page/n3/mode/2up|journal=IndyCar Series 2004 Season Preview|page=7|date=January 2004|accessdate=30 July 2021|via=Internet Archive|url-access=registration}}</ref>''','''Source:<ref>{{cite journal|title=Tour dates|url=https://archive.org/details/indycar-series-2004-season-preview/page/n3/mode/2up|journal=IndyCar Series 2004 Season Preview|page=7|date=January 2004|accessdate=30 July 2021|via=Internet Archive|url-access=registration}}</ref>''','''Source:<ref>{{cite journal|title=Tour dates|url=https://archive.org/details/indycar-series-2004-season-preview/page/n3/mode/2up|journal=IndyCar Series 2004 Season Preview|page=7|date=January 2004|accessdate=30 July 2021|via=Internet Archive|url-access=registration}}</ref>''',,2004,'''Source:<ref>{{cite journal|title=Tour dates|url=https://archive.org/details/indycar-series-2004-season-preview/page/n3/mode/2up|journal=IndyCar Series 2004 Season Preview|page=7|date=January 2004|accessdate=30 July 2021|via=Internet Archive|url-access=registration}}</ref>''','''Source:<ref>{{cite journal|title=Tour dates|url=https://archive.org/details/indycar-series-2004-season-preview/page/n3/mode/2up|journal=IndyCar Series 2004 Season Preview|page=7|date=January 2004|accessdate=30 July 2021|via=Internet Archive|url-access=registration}}</ref>''','''Source:<ref>{{cite journal|title=Tour dates|url=https://archive.org/details/indycar-series-2004-season-preview/page/n3/mode/2up|journal=IndyCar Series 2004 Season Preview|page=7|date=January 2004|accessdate=30 July 2021|via=Internet Archive|url-access=registration}}</ref>''',,,,,
0,,March 6,[[Homestead–Miami Indy 300|Toyota Indy 300]],{{Color box|white|O|border=silver}} [[Homestead-Miami Speedway]],"[[Homestead, Florida]]",2005,1,,,,,,,
1,,March 19,[[XM Satellite Radio Indy 200]],{{Color box|white|O|border=silver}} [[Phoenix International Raceway]],"[[Phoenix, Arizona]]",2005,2,,,,,,,
2,,April 3,[[Honda Grand Prix of St. Petersburg]],{{color box|peachpuff|S|border=silver}} [[Streets of St. Petersburg]],"[[St. Petersburg, Florida]]",2005,3,,,,,,,
3,,April 30,[[Indy Japan 300]],{{Color box|white|O|border=silver}} [[Twin Ring Motegi]],"[[Motegi, Tochigi|Motegi]], [[Japan]]",2005,4,,,,,,,
4,,May 29,[[2005 Indianapolis 500|89th Indianapolis 500]],{{Color box|white|O|border=silver}} [[Indianapolis Motor Speedway]],"[[Speedway, Indiana]]",2005,5,,,,,,,
5,,June 11,[[Firestone 550|Bombardier Learjet 500]],{{Color box|white|O|border=silver}} [[Texas Motor Speedway]],"[[Fort Worth, Texas]]",2005,6,,,,,,,
6,,June 25,[[SunTrust Indy Challenge]],{{Color box|white|O|border=silver}} [[Richmond International Raceway]],"[[Richmond, Virginia]]",2005,7,,,,,,,
7,,July 3,[[RoadRunner Turbo Indy 300|Argent Mortgage Indy 300]],{{Color box|white|O|border=silver}} [[Kansas Speedway]],"[[Kansas City, Kansas]]",2005,8,,,,,,,
8,,July 16,[[Firestone Indy 200]],{{Color box|white|O|border=silver}} [[Nashville Superspeedway]],"[[Lebanon, Tennessee]]",2005,9,,,,,,,
9,,July 24,[[Milwaukee IndyFest|ABC Supply Company A. J. Foyt 225]],{{Color box|white|O|border=silver}} [[The Milwaukee Mile]],"[[West Allis, Wisconsin]]",2005,10,,,,,,,
10,,July 31,[[Firestone Indy 400]],{{Color box|white|O|border=silver}} [[Michigan International Speedway]],"[[Brooklyn, Michigan]]",2005,11,,,,,,,
11,,August 14,[[Kentucky Indy 300|AMBER Alert Portal Indy 300]],{{Color box|white|O|border=silver}} [[Kentucky Speedway]],"[[Sparta, Kentucky]]",2005,12,,,,,,,
12,,August 21,[[Pikes Peak International Raceway|Honda Indy 225]],{{Color box|white|O|border=silver}} [[Pikes Peak International Raceway]],"[[Fountain, Colorado]]",2005,13,,,,,,,
13,,August 28,[[GoPro Indy Grand Prix of Sonoma|Argent Mortgage Indy Grand Prix]],{{color box|lightblue|R|border=silver}} [[Infineon Raceway]],"[[Sonoma, California]]",2005,14,,,,,,,
14,,September 11,[[Peak Antifreeze & Motor Oil Indy 300|Peak Antifreeze Indy 300]],{{Color box|white|O|border=silver}} [[Chicagoland Speedway]],"[[Joliet, Illinois]]",2005,15,,,,,,,
15,,September 25,[[Camping World Grand Prix at The Glen|Watkins Glen Indy Grand Prix]],{{color box|lightblue|R|border=silver}} [[Watkins Glen International]],"[[Watkins Glen, New York]]",2005,16,,,,,,,
16,,October 16,[[MAVTV 500|Toyota Indy 400]],{{Color box|white|O|border=silver}} [[Auto Club Speedway|California Speedway]],"[[Fontana, California]]",2005,17,,,,,,,
17,,"'''Source:'''<ref>{{cite book |last=Oreowicz |first=John |url=https://archive.org/details/indianapolis500i0000jere |title=Autocourse: Indianapolis 500 & Indy Racing League IndyCar Series Official Yearbook 2004 |last2=Phillips |first2=David |last3=Cleary |first3=Matt |last4=Davidson |first4=Donald |last5=Bignotti Mendez |first5=Mary |publisher=Hazleton Publishing |year=2005 |isbn=1-903135-46-X |location=London, England |page=176 |chapter=2005 IRL IndyCar Series Schedule |url-access=registration |via=[[Internet Archive]] |authorlink4=Donald Davidson (historian)}}</ref>","'''Source:'''<ref>{{cite book |last=Oreowicz |first=John |url=https://archive.org/details/indianapolis500i0000jere |title=Autocourse: Indianapolis 500 & Indy Racing League IndyCar Series Official Yearbook 2004 |last2=Phillips |first2=David |last3=Cleary |first3=Matt |last4=Davidson |first4=Donald |last5=Bignotti Mendez |first5=Mary |publisher=Hazleton Publishing |year=2005 |isbn=1-903135-46-X |location=London, England |page=176 |chapter=2005 IRL IndyCar Series Schedule |url-access=registration |via=[[Internet Archive]] |authorlink4=Donald Davidson (historian)}}</ref>","'''Source:'''<ref>{{cite book |last=Oreowicz |first=John |url=https://archive.org/details/indianapolis500i0000jere |title=Autocourse: Indianapolis 500 & Indy Racing League IndyCar Series Official Yearbook 2004 |last2=Phillips |first2=David |last3=Cleary |first3=Matt |last4=Davidson |first4=Donald |last5=Bignotti Mendez |first5=Mary |publisher=Hazleton Publishing |year=2005 |isbn=1-903135-46-X |location=London, England |page=176 |chapter=2005 IRL IndyCar Series Schedule |url-access=registration |via=[[Internet Archive]] |authorlink4=Donald Davidson (historian)}}</ref>","'''Source:'''<ref>{{cite book |last=Oreowicz |first=John |url=https://archive.org/details/indianapolis500i0000jere |title=Autocourse: Indianapolis 500 & Indy Racing League IndyCar Series Official Yearbook 2004 |last2=Phillips |first2=David |last3=Cleary |first3=Matt |last4=Davidson |first4=Donald |last5=Bignotti Mendez |first5=Mary |publisher=Hazleton Publishing |year=2005 |isbn=1-903135-46-X |location=London, England |page=176 |chapter=2005 IRL IndyCar Series Schedule |url-access=registration |via=[[Internet Archive]] |authorlink4=Donald Davidson (historian)}}</ref>",2005,"'''Source:'''<ref>{{cite book |last=Oreowicz |first=John |url=https://archive.org/details/indianapolis500i0000jere |title=Autocourse: Indianapolis 500 & Indy Racing League IndyCar Series Official Yearbook 2004 |last2=Phillips |first2=David |last3=Cleary |first3=Matt |last4=Davidson |first4=Donald |last5=Bignotti Mendez |first5=Mary |publisher=Hazleton Publishing |year=2005 |isbn=1-903135-46-X |location=London, England |page=176 |chapter=2005 IRL IndyCar Series Schedule |url-access=registration |via=[[Internet Archive]] |authorlink4=Donald Davidson (historian)}}</ref>",,,,,,,
0,,,,,,2006,,,,,,,,
1,,,,,,2006,,,,,,,,
2,,,,,,2006,,,,,,,,
3,,,,,,2006,,,,,,,,
0,,March 24,[[Homestead–Miami Indy 300|XM Satellite Radio Indy 300]],{{Color box|white|O|border=silver}} [[Homestead-Miami Speedway]],,2007,1,"[[Homestead, Florida]]",,,,,,
1,,April 1,[[Honda Grand Prix of St. Petersburg]],{{Color box|peachpuff|S|border=silver}} [[Streets of St. Petersburg]],,2007,2,"[[St. Petersburg, Florida]]",,,,,,
2,,April 21,[[Indy Japan 300]],{{Color box|white|O|border=silver}} [[Twin Ring Motegi]],,2007,3,"[[Motegi, Tochigi|Motegi]], [[Japan]]",,,,,,
3,,April 29,[[RoadRunner Turbo Indy 300|Kansas Lottery Indy 300]],{{Color box|white|O|border=silver}} [[Kansas Speedway]],,2007,4,"[[Kansas City, Kansas]]",,,,,,
4,,May 27,[[2007 Indianapolis 500|91st Indianapolis 500]],{{Color box|white|O|border=silver}} [[Indianapolis Motor Speedway]],,2007,5,"[[Speedway, Indiana]]",,,,,,
5,,June 3,[[Milwaukee IndyFest|ABC Supply Company A. J. Foyt 225]],{{Color box|white|O|border=silver}} [[The Milwaukee Mile]],,2007,6,"[[West Allis, Wisconsin]]",,,,,,
6,,June 9,[[Firestone 550|Bombardier Learjet 550]],{{Color box|white|O|border=silver}} [[Texas Motor Speedway]],,2007,7,"[[Fort Worth, Texas]]",,,,,,
7,,June 24,[[Iowa Corn 300|Iowa Corn Indy 250]],{{Color box|white|O|border=silver}} [[Iowa Speedway]],,2007,8,"[[Newton, Iowa]]",,,,,,
8,,June 30,[[SunTrust Indy Challenge]],{{Color box|white|O|border=silver}} [[Richmond International Raceway]],,2007,9,"[[Richmond, Virginia]]",,,,,,
9,,July 8,[[Camping World Grand Prix at The Glen|Camping World Watkins Glen Grand Prix]],{{color box|lightblue|R|border=silver}} [[Watkins Glen International]],,2007,10,"[[Watkins Glen, New York]]",,,,,,
10,,July 15,[[Firestone Indy 200]],{{Color box|white|O|border=silver}} [[Nashville Superspeedway]],,2007,11,"[[Lebanon, Tennessee]]",,,,,,
11,,July 22,[[Honda Indy 200|The Honda 200 at Mid-Ohio]],{{color box|lightblue|R|border=silver}} [[Mid-Ohio Sports Car Course]],,2007,12,"[[Lexington, Ohio]]",,,,,,
12,,August 5,[[Firestone Indy 400]],{{Color box|white|O|border=silver}} [[Michigan International Speedway]],,2007,13,"[[Brooklyn, Michigan]]",,,,,,
13,,August 11,[[Kentucky Indy 300|Meijer Indy 300]],{{Color box|white|O|border=silver}} [[Kentucky Speedway]],,2007,14,"[[Sparta, Kentucky]]",,,,,,
14,,August 26,[[GoPro Indy Grand Prix of Sonoma|Motorola Indy 300]],{{color box|lightblue|R|border=silver}} [[Infineon Raceway]],,2007,15,"[[Sonoma, California]]",,,,,,
15,,September 2,[[Detroit Grand Prix|Detroit Indy Grand Prix]],{{Color box|peachpuff|S|border=silver}} [[Detroit Belle Isle street circuit]],,2007,16,"[[Detroit, Michigan]]",,,,,,
16,,September 9,[[Peak Antifreeze & Motor Oil Indy 300|Peak Antifreeze Indy 300]],{{Color box|white|O|border=silver}} [[Chicagoland Speedway]],,2007,17,"[[Joliet, Illinois]]",,,,,,
0,,March 29,[[Homestead–Miami Indy 300|XM Indy 300 at Homestead-Miami]],{{Color box|white|O|border=silver}} [[Homestead-Miami Speedway]],"{{flagicon|United States}} [[Homestead, Florida]]",2008,,,,,,,,
1,,April 6,[[Firestone Grand Prix of St. Petersburg|Honda IndyCar Grand Prix at St. Petersburg]],{{Color box|peachpuff|S|border=silver}} [[Honda Grand Prix of St. Petersburg#Course|Streets of St. Petersburg]],"{{flagicon|United States}} [[St. Petersburg, Florida]]",2008,,,,,,,,
2,,April 20<sup>†</sup>,[[Indy Japan 300]] <small>([[2008 IndyCar Series#Schedule changes|see below]])</small>,{{Color box|white|O|border=silver}} [[Twin Ring Motegi]],"{{flagicon|Japan}} [[Motegi, Tochigi]]",2008,,,,,,,,
3,,April 20,[[Grand Prix of Long Beach|Toyota Grand Prix of Long Beach]] <small>([[2008 IndyCar Series#Schedule changes|see below]])</small>,"{{Color box|peachpuff|S|border=silver}} [[Long Beach, California|Streets of Long Beach]]","{{flagicon|United States}} [[Long Beach, California]]",2008,,,,,,,,
4,,April 27,[[RoadRunner Turbo Indy 300]],{{Color box|white|O|border=silver}} [[Kansas Speedway]],"{{flagicon|United States}} [[Kansas City, Kansas]]",2008,,,,,,,,
5,,May 25,[[2008 Indianapolis 500|92nd Indianapolis 500]],{{Color box|white|O|border=silver}} [[Indianapolis Motor Speedway]],"{{flagicon|United States}} [[Speedway, Indiana]]",2008,,,,,,,,
6,,June 1,[[Milwaukee IndyFest|ABC Supply Company A. J. Foyt 225]],{{Color box|white|O|border=silver}} [[The Milwaukee Mile]],"{{flagicon|United States}} [[West Allis, Wisconsin]]",2008,,,,,,,,
7,,June 7,[[Firestone 600|Bombardier Learjet IndyCar 550k at Texas]],{{Color box|white|O|border=silver}} [[Texas Motor Speedway]],"{{flagicon|United States}} [[Fort Worth, Texas]]",2008,,,,,,,,
8,,June 22,[[Iowa Corn 300|Ethanol IndyCar 250 at Iowa]],{{Color box|white|O|border=silver}} [[Iowa Speedway]],"{{flagicon|United States}} [[Newton, Iowa]]",2008,,,,,,,,
9,,June 28,[[SunTrust Indy Challenge]],{{Color box|white|O|border=silver}} [[Richmond International Raceway]],"{{flagicon|United States}} [[Richmond, Virginia]]",2008,,,,,,,,
10,,July 6,[[Camping World Grand Prix at The Glen|Camping World IndyCar Grand Prix at The Glen]],{{color box|lightblue|R|border=silver}} [[Watkins Glen International]],"{{flagicon|United States}} [[Watkins Glen, New York]]",2008,,,,,,,,
11,,July 12,[[Firestone Indy 200|Firestone IndyCar 200 at Nashville]],{{Color box|white|O|border=silver}} [[Nashville Superspeedway]],"{{flagicon|United States}} [[Lebanon, Tennessee]]",2008,,,,,,,,
12,,July 20,[[Honda Indy 200|Honda IndyCar Grand Prix at Mid-Ohio]],{{color box|lightblue|R|border=silver}} [[Mid-Ohio Sports Car Course]],"{{flagicon|United States}} [[Lexington, Ohio]]",2008,,,,,,,,
13,,July 26,[[Edmonton Indy|Rexall Edmonton Indy]],{{color box|lightblue|R|border=silver}} [[Edmonton City Centre Airport Speedway]],"{{flagicon|Canada}}  [[Edmonton, Alberta]]",2008,,,,,,,,
14,,August 9,[[Kentucky Indy 300|Meijer Indy 300]],{{Color box|white|O|border=silver}} [[Kentucky Speedway]],"{{flagicon|United States}} [[Sparta, Kentucky]]",2008,,,,,,,,
15,,August 24,[[GoPro Grand Prix of Sonoma|Peak Antifreeze & Motor Oil Indy Grand Prix of Sonoma County]],{{color box|lightblue|R|border=silver}} [[Infineon Raceway]],"{{flagicon|United States}} [[Sonoma, California]]",2008,,,,,,,,
16,,August 31,[[Detroit Belle Isle Grand Prix|Detroit Indy Grand Prix]],{{Color box|peachpuff|S|border=silver}} [[Detroit Belle Isle street circuit|The Raceway on Belle Isle Park]],"{{flagicon|United States}} [[Detroit, Michigan]]",2008,,,,,,,,
17,,September 7,[[Peak Antifreeze & Motor Oil Indy 300]],{{Color box|white|O|border=silver}} [[Chicagoland Speedway]],"{{flagicon|United States}} [[Joliet, Illinois]]",2008,,,,,,,,
18,,October 26,[[Nikon Indy 300]],{{Color box|peachpuff|S|border=silver}} [[Surfers Paradise Street Circuit]],"{{flagicon|Australia}} [[Surfers Paradise, Queensland]]",2008,,,,,,,,
0,,April 5,[[Honda Grand Prix of St. Petersburg]],"{{Color box|peachpuff|S|border=silver}} [[St. Petersburg, Florida|Streets of St. Petersburg]]","{{flagicon|United States}} [[St. Petersburg, Florida]]",2009,1,,,,,,,
1,,April 19,[[Grand Prix of Long Beach|Toyota Grand Prix of Long Beach]],"{{Color box|peachpuff|S|border=silver}} [[Long Beach, California|Streets of Long Beach]]","{{flagicon|United States}} [[Long Beach, California]]",2009,2,,,,,,,
2,,April 26,[[RoadRunner Turbo Indy 300]],{{Color box|white|O|border=silver}} [[Kansas Speedway]],"{{flagicon|United States}} [[Kansas City, Kansas]]",2009,3,,,,,,,
3,,May 24,[[2009 Indianapolis 500|93rd Indianapolis 500]],{{Color box|white|O|border=silver}} [[Indianapolis Motor Speedway]],"{{flagicon|United States}} [[Speedway, Indiana]]",2009,4,,,,,,,
4,,May 31,[[Milwaukee IndyFest|ABC Supply Company A. J. Foyt 225]],{{Color box|white|O|border=silver}} [[The Milwaukee Mile]],"{{flagicon|United States}} [[West Allis, Wisconsin]]",2009,5,,,,,,,
5,,June 6,[[Firestone 550|Bombardier Learjet 550]],{{Color box|white|O|border=silver}} [[Texas Motor Speedway]],"{{flagicon|United States}} [[Fort Worth, Texas]]",2009,6,,,,,,,
6,,June 21,[[Iowa Corn Indy 250]],{{Color box|white|O|border=silver}} [[Iowa Speedway]],"{{flagicon|United States}} [[Newton, Iowa]]",2009,7,,,,,,,
7,,June 27,[[SunTrust Indy Challenge]],{{Color box|white|O|border=silver}} [[Richmond International Raceway]],"{{flagicon|United States}} [[Richmond, Virginia]]",2009,8,,,,,,,
8,,July 5,[[Camping World Grand Prix at The Glen]],{{color box|lightblue|R|border=silver}} [[Watkins Glen International]],"{{flagicon|United States}} [[Watkins Glen, New York]]",2009,9,,,,,,,
9,,July 12,[[Honda Indy Toronto]],{{Color box|peachpuff|S|border=silver}} [[Exhibition Place]],"{{flagicon|Canada}} [[Toronto, Ontario]]",2009,10,,,,,,,
10,,July 26,[[Edmonton Indy|Rexall Edmonton Indy]],{{color box|lightblue|R|border=silver}} [[Edmonton City Centre Airport Speedway]],"{{flagicon|Canada}} [[Edmonton, Alberta]]",2009,11,,,,,,,
11,,August 1,[[Kentucky Indy 300|Meijer Indy 300]],{{Color box|white|O|border=silver}} [[Kentucky Speedway]],"{{flagicon|United States}} [[Sparta, Kentucky]]",2009,12,,,,,,,
12,,August 9,[[Honda Indy 200|Honda 200]],{{color box|lightblue|R|border=silver}} [[Mid-Ohio Sports Car Course]],"{{flagicon|United States}} [[Lexington, Ohio]]",2009,13,,,,,,,
13,,August 23,[[GoPro Indy Grand Prix of Sonoma|Indy Grand Prix of Sonoma]],{{color box|lightblue|R|border=silver}} [[Infineon Raceway]],"{{flagicon|United States}} [[Sonoma, California]]",2009,14,,,,,,,
14,,August 29,[[Peak Antifreeze & Motor Oil Indy 300]],{{Color box|white|O|border=silver}} [[Chicagoland Speedway]],"{{flagicon|United States}} [[Joliet, Illinois]]",2009,15,,,,,,,
15,,September 6,[[Detroit Belle Isle Grand Prix|Detroit Indy Grand Prix]],{{Color box|peachpuff|S|border=silver}} [[Belle Isle Park|The Raceway on Belle Isle Park]],"{{flagicon|United States}} [[Detroit, Michigan]]",2009,C,,,,,,,
16,,September 18,[[Indy Japan 300]],{{Color box|white|O|border=silver}} [[Twin Ring Motegi]],"{{flagicon|Japan}} [[Motegi, Tochigi]]",2009,16,,,,,,,
17,,October 10,[[Homestead–Miami Indy 300|Firestone Indy 300]],{{Color box|white|O|border=silver}} [[Homestead-Miami Speedway]],"{{flagicon|United States}} [[Homestead, Florida]]",2009,17,,,,,,,
0,,March 14,[[São Paulo Indy 300]],{{Color box|peachpuff|S|border=silver}} [[Anhembi Sambadrome|Streets of São Paulo]],"{{flagicon|Brazil}} [[São Paulo|São Paulo, São Paulo]]",2010,1,,,,,,,
1,,March 29{{sup|†}},[[Honda Grand Prix of St. Petersburg]],"{{Color box|peachpuff|S|border=silver}} [[St. Petersburg, Florida|Streets of St. Petersburg]]","{{flagicon|United States}} [[St. Petersburg, Florida]]",2010,2,,,,,,,
2,,April 11,[[Indy Grand Prix of Alabama]],{{color box|lightblue|R|border=silver}} [[Barber Motorsports Park]],"{{flagicon|United States}} [[Birmingham, Alabama]]",2010,3,,,,,,,
3,,April 18,[[Grand Prix of Long Beach|Toyota Grand Prix of Long Beach]],"{{Color box|peachpuff|S|border=silver}} [[Long Beach, California|Streets of Long Beach]]","{{flagicon|United States}} [[Long Beach, California]]",2010,4,,,,,,,
4,,May 1,[[RoadRunner Turbo Indy 300]],{{Color box|white|O|border=silver}} [[Kansas Speedway]],"{{flagicon|United States}} [[Kansas City, Kansas]]",2010,5,,,,,,,
5,,May 30,[[2010 Indianapolis 500|94th Indianapolis 500]],{{Color box|white|O|border=silver}} [[Indianapolis Motor Speedway]],"{{flagicon|United States}} [[Speedway, Indiana]]",2010,6,,,,,,,
6,,June 5,[[Firestone 550|Firestone 550K]],{{Color box|white|O|border=silver}} [[Texas Motor Speedway]],"{{flagicon|United States}} [[Fort Worth, Texas]]",2010,7,,,,,,,
7,,June 20,[[Iowa Corn Indy 250]],{{Color box|white|O|border=silver}} [[Iowa Speedway]],"{{flagicon|United States}} [[Newton, Iowa]]",2010,8,,,,,,,
8,,July 4,[[Camping World Grand Prix at The Glen]],{{color box|lightblue|R|border=silver}} [[Watkins Glen International]],"{{flagicon|United States}} [[Watkins Glen, New York]]",2010,9,,,,,,,
9,,July 18,[[Honda Indy Toronto]],{{Color box|peachpuff|S|border=silver}} [[Exhibition Place]],"{{flagicon|Canada}} [[Toronto, Ontario]]",2010,10,,,,,,,
10,,July 25,[[Edmonton Indy|Honda Indy Edmonton]],{{Color box|lightblue|R|border=silver}} [[Edmonton City Centre Airport]],"{{flagicon|Canada}} [[Edmonton, Alberta]]",2010,11,,,,,,,
11,,August 8,[[Honda Indy 200]],{{color box|lightblue|R|border=silver}} [[Mid-Ohio Sports Car Course]],"{{flagicon|United States}} [[Lexington, Ohio]]",2010,12,,,,,,,
12,,August 22,[[GoPro Indy Grand Prix of Sonoma|Indy Grand Prix of Sonoma]],{{color box|lightblue|R|border=silver}} [[Infineon Raceway]],"{{flagicon|United States}} [[Sonoma, California]]",2010,13,,,,,,,
13,,August 28,[[Peak Antifreeze & Motor Oil Indy 300|Peak Antifreeze and Motor Oil Indy 300]],{{Color box|white|O|border=silver}} [[Chicagoland Speedway]],"{{flagicon|United States}} [[Joliet, Illinois]]",2010,14,,,,,,,
14,,September 4,[[Kentucky Indy 300]],{{Color box|white|O|border=silver}} [[Kentucky Speedway]],"{{flagicon|United States}} [[Sparta, Kentucky]]",2010,15,,,,,,,
15,,September 19,[[Indy Japan 300]],{{Color box|white|O|border=silver}} [[Twin Ring Motegi]],"{{flagicon|Japan}} [[Motegi, Tochigi]]",2010,16,,,,,,,
16,,October 2,[[Homestead–Miami Indy 300|Cafés do Brasil Indy 300]],{{Color box|white|O|border=silver}} [[Homestead-Miami Speedway]],"{{flagicon|United States}} [[Homestead, Florida]]",2010,17,,,,,,,
0,,March 27,,"{{color box|peachpuff|S|border=silver}} [[St. Petersburg, Florida|Streets of St. Petersburg]]","{{flagicon|USA}} [[St. Petersburg, Florida]]",2011,,,,[[Honda Grand Prix of St. Petersburg]],,,,
1,,April 10,,{{color box|lightblue|R|border=silver}} [[Barber Motorsports Park]],"{{flagicon|USA}} [[Birmingham, Alabama]]",2011,,,,[[Indy Grand Prix of Alabama]],,,,
2,,April 17,,"{{color box|peachpuff|S|border=silver}} [[Long Beach, California|Streets of Long Beach]]","{{flagicon|USA}} [[Long Beach, California]]",2011,,,,[[Grand Prix of Long Beach|Toyota Grand Prix of Long Beach]],,,,
3,,May 1<br />May 2,,{{color box|peachpuff|S|border=silver}} [[Anhembi Sambadrome|Streets of São Paulo]],"{{flagicon|BRA}} [[São Paulo]], [[São Paulo (state)|São Paulo]]",2011,,,,[[São Paulo Indy 300|Itaipava São Paulo Indy 300]],,,,
4,,May 29,,{{Color box|white|O|border=silver}} [[Indianapolis Motor Speedway]],"{{flagicon|USA}} [[Speedway, Indiana]]",2011,,,,[[2011 Indianapolis 500|95th Indianapolis 500]],,,,
5,,June 11,,{{Color box|white|O|border=silver}} [[Texas Motor Speedway]],"{{flagicon|USA}} [[Fort Worth, Texas]]",2011,,,,[[Firestone 550|Firestone Twin 275s]],,,,
6,,June 11,,{{Color box|white|O|border=silver}} [[Texas Motor Speedway]],"{{flagicon|USA}} [[Fort Worth, Texas]]",2011,,,,[[Firestone 550|Firestone Twin 275s]],,,,
7,,June 19,,{{Color box|white|O|border=silver}} [[Milwaukee Mile]],"{{flagicon|USA}} [[West Allis, Wisconsin]]",2011,,,,[[Milwaukee IndyFest|The Milwaukee 225]],,,,
8,,June 25,,{{Color box|white|O|border=silver}} [[Iowa Speedway]],"{{flagicon|USA}} [[Newton, Iowa]]",2011,,,,[[Iowa Corn Indy 250]],,,,
9,,July 10,,{{color box|peachpuff|S|border=silver}} [[Exhibition Place]],"{{flagicon|CAN}} [[Toronto|Toronto, Ontario]]",2011,,,,[[Honda Indy Toronto]],,,,
10,,July 24,,{{color box|lightblue|R|border=silver}} [[Edmonton City Centre Airport Speedway]],"{{flagicon|CAN}} [[Edmonton|Edmonton, Alberta]]",2011,,,,[[Edmonton Indy]],,,,
11,,August 7,,{{color box|lightblue|R|border=silver}} [[Mid-Ohio Sports Car Course]],"{{flagicon|USA}} [[Lexington, Ohio]]",2011,,,,[[Honda Indy 200|Honda 200 at Mid-Ohio]],,,,
12,,August 14,,{{Color box|white|O|border=silver}} [[New Hampshire Motor Speedway]],"{{flagicon|USA}} [[Loudon, New Hampshire]]",2011,,,,[[New Hampshire Indy 225|MoveThatBlock.com Indy 225]],,,,
13,,August 28,,{{color box|lightblue|R|border=silver}} [[Sonoma Raceway|Infineon Raceway]],"{{flagicon|USA}} [[Sonoma, California]]",2011,,,,[[GoPro Indy Grand Prix of Sonoma|Indy Grand Prix of Sonoma]],,,,
14,,September 4,,{{color box|peachpuff|S|border=silver}} [[Inner Harbor|Streets of Baltimore]],"{{flagicon|USA}} [[Baltimore|Baltimore, Maryland]]",2011,,,,[[Grand Prix of Baltimore]],,,,
15,,September 18,,{{color box|lightblue|R|border=silver}} [[Twin Ring Motegi|Twin Ring Motegi Road Course]],"{{flagicon|JPN}} [[Motegi, Tochigi]]",2011,,,,[[Indy Japan 300|Indy Japan: The Final]],,,,
16,,October 2,,{{Color box|white|O|border=silver}} [[Kentucky Speedway]],"{{flagicon|USA}} [[Sparta, Kentucky]]",2011,,,,[[Kentucky Indy 300]],,,,
17,,October 16,,{{Color box|white|O|border=silver}} [[Las Vegas Motor Speedway]],"{{flagicon|USA}} [[Clark County, Nevada|Las Vegas, Nevada]]",2011,,,,[[IZOD IndyCar World Championships|IZOD IndyCar World Championship]],,,,
0,,March 25,,"{{Color box|peachpuff|S|border=silver}} [[St. Petersburg, Florida|Streets of St. Petersburg]]","[[St. Petersburg, Florida]]",2012,1,,,[[Honda Grand Prix of St. Petersburg]],,,,
1,,April 1,,{{color box|lightblue|R|border=silver}} [[Barber Motorsports Park]],"[[Birmingham, Alabama]]",2012,2,,,[[Indy Grand Prix of Alabama|Honda Indy Grand Prix of Alabama]],,,,
2,,April 15,,"{{Color box|peachpuff|S|border=silver}} [[Long Beach, California|Streets of Long Beach]]","[[Long Beach, California]]",2012,3,,,[[Grand Prix of Long Beach|38th Toyota Grand Prix of Long Beach]],,,,
3,,April 29,,{{Color box|peachpuff|S|border=silver}} [[Anhembi Sambadrome|Streets of São Paulo]],"[[São Paulo]], [[Brazil]]",2012,4,,,[[São Paulo Indy 300|Itaipava São Paulo Indy 300]],,,,
4,,May 27,,{{Color box|white|O|border=silver}} [[Indianapolis Motor Speedway]],"[[Speedway, Indiana]]",2012,5,,,[[2012 Indianapolis 500|96th Indianapolis 500-Mile Race]],,,,
